"D.1","D.2","D.3"
0.266854949919948,0.414223072863682,0.376244810902349
0.854819929724167,0.159094242890102,0.382991589333993
0,0.619573319443119,0.389859350216124
0.199893774460992,0.995394762125891,0.39685026299205
0.939394672241508,0.795983970917245,0.403966536007286
0.583396450752747,0.565572529303387,0.411210417207145
0.0677554192597571,0.893869256712724,0.418584194846834
0.336337128821938,0.271919391934496,0.426090198214287
0.763876845123375,0.0605058251387552,0.433730798365962
0.457526962338333,0.712568158358769,0.441508408875824
0.0968507564391437,0.372997466989113,0.449425486597771
0.663914040354137,0.220791820087423,0.457484532441718
0.285543123043129,0.932980858927547,0.465688092163608
0.904179474887441,0.431409458113012,0.474038757169586
0.155796700050208,0.0232060659826024,0.482539165334591
0.719700072430027,0.749070086449625,0.491192001835632
0.380440154304001,0.146937941994986,0.5
0.215380471082475,0.649234851929898,0.508965942168695
0.984295759547202,0.296236262279382,0.518092660575335
0.0131614574983231,0.837029228357473,0.527383038240823
0.428964822929618,0.455543907227889,0.536840009884059
0.600460146830845,0.0861558519866984,0.546466562848984
0.790428816113282,0.902734345444236,0.556265738048243
0.0450650135929944,0.495592761642129,0.566240630923778
0.363808619965105,0.774603925487909,0.576394392424634
0.949056154600745,0.041787170769528,0.586730230002313
0.53359855335045,0.339663446564687,0.597251408623965
0.846272538302613,0.547400163600473,0.607961251803754
0.481451333241263,0.988510903839569,0.618863142652714
0.111967744517092,0.123316915813686,0.629960524947437
0.6417892241981,0.813904972674733,0.641256904217916
0.809404354243138,0.200592236069197,0.652755848854905
0.147826316600205,0.72518977876113,0.664460991237126
0.310689753606423,0.00929421023230058,0.676376028878698
0.701532783968778,0.405945363131231,0.688504725597135
0.961507301633322,0.955777228209441,0.700850912702289
0.185592099263325,0.305789188496594,0.713418490206622
0.512892002712618,0.666330873560493,0.726211428057163
0.892755431606405,0.109613826620273,0.739233767389575
0.244138904951541,0.523868894761876,0.752489621804698
0.0886628893108816,0.976613082138012,0.765983178667987
0.447855063876502,0.0680333808535719,0.779718700432248
0.771499749699707,0.611727015929217,0.7937005259841
0.327535666491115,0.87881420933453,0.807933072014573
0.626458769705256,0.280325307232158,0.822420834414291
0.128485807154846,0.43987029985826,0.837168389693668
0.997876910965524,0.763649661453062,0.852180396428575
0.00377293366523397,0.244569125783748,0.867461596731923
0.929965940396393,0.363317676976334,0.883016817751649
0.388883004582275,0.578155926742463,0.898850973195542
0.725696272262886,0.0276024708068515,0.914969064883435
0.861755985803098,0.851702052265748,0.931376184327216
0.0588289567359566,0.683196748836215,0.948077514339171
0.55582232261087,0.485855654804664,0.965078330669182
0.259377299174103,0.183311794522716,0.982384003671264
0.436685257031654,0.944128369022087,1
