"D2.lng","D2.lat","D.1","D.2"
-106.2,41.3,-116.0292,34.2061
-110.3,41.4,-81.691,41.505
-75,42.2,-71.4,41.826
-93.3,44.6,-106.08,32.84
-103.594,43.609,-74.008,40.212
-111.13,33.28,-93.346,48.612
-98.9,40.31,-111.782,43.818
-122.9,42.4,-121.83,37.28
-99.1,46.9,-101.914,34.984
-107.892,35.171,-123.4,47.1
-83.57,34.59,-81.96,33.43
-87,33.3,-113.99,46.86
-104.377,32.175,-90.67,35.84
-109.6,31.9,-98.51,33.97
-91.7,32.8,-91.3,43.9
-103.3,33.7,-75.81,44.04
-90.5,48,-98.224,32.216
-94.9,48.8,-86.3,41
-84.34,39.06,-80.32,39.33
-119.3,39.8,-68.31,47.32
-104.4,46.1,-72.53,42.39
-121.2,45.4,-106.58,35.07
-100.04,30.88,-93.23,30.24
-85.8,46.4,-117.893,33.607
-84.6,31.97,-122.81,42.27
-98.8,32.2,-84.51,39.13
-88.34,35.13,-104.7,38.89
-93.8,41.4,-119.71,34.42
-89.6,46.1,-87.83,42.56
-82.74,27.98,-99.562,38.697
-70.5,43.6,-83.212,37.268
-112.2,41.2,-103.3,41.7
-90.05,38.53,-112.15,38.68
-93.2,39.5,-83.18,42.25
-88.64,36.91,-118.9,36
-118,43,-77.6,39.8
-118.6,48.7,-89.6,36.9
-99.1,42.6,-96.4,42.54
-84.2,43.9,-71.47,42.99
-118.01,33.73,-118.39,46.04
-79.99,35.96,-78.63,35.77
-103,48.4,-87.401,39.472
-93.3,33.8,-91.39,39.93
-115.4,41.4,-86.4,33.9
-80.23,42.03,-84.21,31.59
-120.7,42.8,-74.48,39.34
-86.1,42.5,-77.46,37.55
-90.5,36.4,-89.538,34.365
-96.4,44.5,-94.4,45.6
-96.4,46.7,-116.69,35.26
-97.2,38.9,-90.1,29.93
-88.52,44.07,-81.34,28.65
-117.6,38.8,-108.13,36.78
-77.533,41.012,-122.53,48.74
-94.6,45.9,-73.538,41.054
-120.254,37.827,-99.5,27.51
-102.7,30.6,-94.84,39.76
-72.99,40.83,-85.504,36.177
-95.5,37.7,-82.8357,34.6703
-77.03,36.82,-92.31,42.45
-117.3,41,-96.36,30.64
-115.99,43.98,-87.96,43.64
-88.4,47.7,-112.5,34.5
-120.4,47.4,-82.367,36.303
-104.1,39.8,-75.63,41.41
-114.3,45.8,-86.11,39.78
-86.147,40.291,-81.8,26.2
-71.79,42.23,-81.58,30.37
-81.07,29.24,-83.651,32.829
-75.69,35.22,-110.3,41.8
-75.54,40.43,-89.145,44.336
-86,44.6,-92.34,34.78
-77.08,38.89,-103.829,40.27
-111.124,36.326,-121.84,39.74
-100.9,32.9,-97.57,35.42
-81.81,26.25,-80.66,41.07
-118.753,36.608,-83.97,43.42
-113.33,37.24,-82.41,38.42
-96.45,42.46,-96.98,28.81
-119.5,44.4,-77.86,40.81
